name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cycles","instructions"
"BM_BinarySearchPredictableTarget/2048",18583731,37.7613,37.6619,ns,,,,,,56.1534,101
"BM_BinarySearchPredictableTarget/4096",16894074,41.5617,41.4487,ns,,,,,,61.8197,108
"BM_BinarySearchPredictableTarget/8192",16003597,43.8506,43.7343,ns,,,,,,65.2462,115
"BM_BinarySearchPredictableTarget/16384",14639493,47.9376,47.808,ns,,,,,,71.336,122
"BM_BinarySearchPredictableTarget/32768",13941790,50.3437,50.2064,ns,,,,,,74.9237,129
"BM_BinarySearchPredictableTarget/65536",12813042,54.752,54.6063,ns,,,,,,81.5041,136
"BM_BinarySearchPredictableTarget/131072",12385325,56.6121,56.4627,ns,,,,,,84.2723,143
"BM_BinarySearchPredictableTarget/262144",11280612,62.1761,62.0131,ns,,,,,,92.5765,150
"BM_BinarySearchPredictableTarget_BigO",,3.40367,3.3945,lgN,,,,,,,
"BM_BinarySearchPredictableTarget_RMS",,4.39705e-11,4.3973e-11,,,,,,,,
